tconst	primaryTitle	titleType	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	combined_features
tt0135169	Boy! What a Girl!	movie	Boy! What a Girl!	0	1947	\N	70	Comedy,Musical	movie Boy! What a Girl! Boy! What a Girl! 0 1947 \N 70 Comedy,Musical
tt0135171	Brigade Anti Gangs	movie	Brigade antigangs	0	1966	\N	88	Action,Crime,Drama	movie Brigade Anti Gangs Brigade antigangs 0 1966 \N 88 Action,Crime,Drama
tt0135173	Broken Strings	movie	Broken Strings	0	1940	\N	60	Drama,Music	movie Broken Strings Broken Strings 0 1940 \N 60 Drama,Music
tt0135174	In Front of God	movie	Brosta sto Theo	0	1953	\N	80	Drama	movie In Front of God Brosta sto Theo 0 1953 \N 80 Drama
tt0135178	The Cape of Hope	movie	Le cap de l'espérance	0	1951	\N	90	Crime,Drama	movie The Cape of Hope Le cap de l'espérance 0 1951 \N 90 Crime,Drama
tt0135182	Chicha	movie	Chicha	0	1991	\N	89	Comedy	movie Chicha Chicha 0 1991 \N 89 Comedy
tt0135184	Chore Wars	movie	Chore Wars	0	1995	\N	73	Documentary	movie Chore Wars Chore Wars 0 1995 \N 73 Documentary
tt0135194	City Women	movie	City Women	1	1971	\N	60	Adult,Romance	movie City Women City Women 1 1971 \N 60 Adult,Romance
tt0135195	City in Orgasm	movie	City in Orgasm	1	1991	\N	\N	Action,Adult,Crime	movie City in Orgasm City in Orgasm 1 1991 \N \N Action,Adult,Crime
tt0135196	City of Rage	movie	City of Rage	1	1989	\N	\N	Adult	movie City of Rage City of Rage 1 1989 \N \N Adult
tt0135197	City of Sin	movie	City of Sin	1	1971	\N	63	Adult,Comedy	movie City of Sin City of Sin 1 1971 \N 63 Adult,Comedy
tt0135199	Classified Sex	movie	Classified Sex	1	1972	\N	67	Adult,Drama	movie Classified Sex Classified Sex 1 1972 \N 67 Adult,Drama
tt0135204	A Climax of Blue Power	movie	A Climax of Blue Power	1	1974	\N	82	Adult,Crime,Drama	movie A Climax of Blue Power A Climax of Blue Power 1 1974 \N 82 Adult,Crime,Drama
tt0135205	The Clinic	movie	The Clinic	1	1974	\N	58	Adult	movie The Clinic The Clinic 1 1974 \N 58 Adult
tt0135213	Club Lez	movie	Club Lez	1	1990	\N	\N	Adult	movie Club Lez Club Lez 1 1990 \N \N Adult
tt0135215	Cock Robin	movie	Cock Robin	1	1989	\N	73	Adult	movie Cock Robin Cock Robin 1 1989 \N 73 Adult
tt0135218	Cocktails	movie	Cocktails	1	1990	\N	76	Adult	movie Cocktails Cocktails 1 1990 \N 76 Adult
tt0135219	Cock-Tales	movie	Cock-Tales	1	1985	\N	89	Adult	movie Cock-Tales Cock-Tales 1 1985 \N 89 Adult
tt0135221	Coffee & Cream	movie	Coffee & Cream	1	1984	\N	\N	Adult,Drama	movie Coffee & Cream Coffee & Cream 1 1984 \N \N Adult,Drama
tt0135223	College Girl	movie	College Girl	1	1990	\N	75	Adult	movie College Girl College Girl 1 1990 \N 75 Adult
tt0135224	College Girls	movie	College Girls	1	1974	\N	\N	Adult	movie College Girls College Girls 1 1974 \N \N Adult
tt0135231	Come Again Doctor	movie	Check-up érotique	1	1975	\N	80	Adult	movie Come Again Doctor Check-up érotique 1 1975 \N 80 Adult
tt0135232	Come Get Me	movie	Come Get Me	1	1983	\N	65	Adult,Drama,Romance	movie Come Get Me Come Get Me 1 1983 \N 65 Adult,Drama,Romance
tt0135233	Come On, Cowboy!	movie	Come On, Cowboy!	0	1948	\N	72	Comedy,Western	movie Come On, Cowboy! Come On, Cowboy! 0 1948 \N 72 Comedy,Western
tt0135235	Come Under My Spell	movie	Come Under My Spell	1	1979	\N	85	Adult	movie Come Under My Spell Come Under My Spell 1 1979 \N 85 Adult
tt0135236	Come and Be Purified	movie	Come and Be Purified	1	1973	\N	56	Adult,Comedy	movie Come and Be Purified Come and Be Purified 1 1973 \N 56 Adult,Comedy
tt0135239	Coming Alive	movie	Coming Alive	1	1988	\N	72	Adult	movie Coming Alive Coming Alive 1 1988 \N 72 Adult
tt0135241	The Coming of Angie	movie	The Coming of Angie	1	1973	\N	53	Adult	movie The Coming of Angie The Coming of Angie 1 1973 \N 53 Adult
tt0135242	Command Performance	movie	Command Performance	1	1977	\N	60	Adult	movie Command Performance Command Performance 1 1977 \N 60 Adult
tt0135244	Commuter Game	movie	Commuter Game	0	1969	\N	78	\N	movie Commuter Game Commuter Game 0 1969 \N 78 \N
tt0135247	Computer Girls	movie	Computer Girls	1	1983	\N	\N	Adult	movie Computer Girls Computer Girls 1 1983 \N \N Adult
tt0135251	Confessions of Seka	movie	Confessions of Seka	1	1981	\N	80	Adult	movie Confessions of Seka Confessions of Seka 1 1981 \N 80 Adult
tt0135252	Confessions of a Candy Striper	movie	Confessions of a Candy Striper	1	1985	\N	76	Adult	movie Confessions of a Candy Striper Confessions of a Candy Striper 1 1985 \N 76 Adult
tt0135255	Constance & Eric Bound at Home	movie	Constance & Eric Bound at Home	1	1990	\N	\N	Adult	movie Constance & Eric Bound at Home Constance & Eric Bound at Home 1 1990 \N \N Adult
tt0135256	Constance & Eric at It Again	movie	Constance & Eric at It Again	1	1990	\N	\N	Adult	movie Constance & Eric at It Again Constance & Eric at It Again 1 1990 \N \N Adult
tt0135261	Cool Sheets	movie	Cool Sheets	1	1989	\N	77	Adult	movie Cool Sheets Cool Sheets 1 1989 \N 77 Adult
tt0135265	Correction of Julie	movie	Correction of Julie	1	1985	\N	\N	Adult	movie Correction of Julie Correction of Julie 1 1985 \N \N Adult
tt0135267	Countess Anne in Lashes	movie	Countess Anne in Lashes	1	1982	\N	\N	Adult	movie Countess Anne in Lashes Countess Anne in Lashes 1 1982 \N \N Adult
tt0135268	Country Club Girls	movie	Country Club Girls	1	1972	\N	60	Adult	movie Country Club Girls Country Club Girls 1 1972 \N 60 Adult
tt0135269	Country Cuties: Barnyard Bash	movie	Country Cuties: Barnyard Bash	0	1990	\N	\N	Game-Show	movie Country Cuties: Barnyard Bash Country Cuties: Barnyard Bash 0 1990 \N \N Game-Show
tt0135270	Country Cuzzins	movie	Country Cuzzins	0	1972	\N	90	Comedy	movie Country Cuzzins Country Cuzzins 0 1972 \N 90 Comedy
tt0135271	Country Girl	movie	Country Girl	1	1968	\N	65	Drama	movie Country Girl Country Girl 1 1968 \N 65 Drama
tt0135272	Country Girls	movie	Country Girls	1	1975	\N	\N	Adult	movie Country Girls Country Girls 1 1975 \N \N Adult
tt0135273	Country Girls in Heat	movie	Country Girls in Heat	1	1986	\N	90	Adult	movie Country Girls in Heat Country Girls in Heat 1 1986 \N 90 Adult
tt0135274	Country Girls in Heat 2	movie	Country Girls in Heat 2	1	1986	\N	90	Adult	movie Country Girls in Heat 2 Country Girls in Heat 2 1 1986 \N 90 Adult
tt0135277	Couples Club	movie	Couples Club	1	1988	\N	56	Adult	movie Couples Club Couples Club 1 1988 \N 56 Adult
tt0135278	Couples Club 2	movie	Couples Club 2	1	1989	\N	58	Adult	movie Couples Club 2 Couples Club 2 1 1989 \N 58 Adult
tt0135279	Cousin Betty	movie	Cousin Betty	1	1972	\N	55	Adult	movie Cousin Betty Cousin Betty 1 1972 \N 55 Adult
tt0135281	Cozy Cool	movie	Cozy Cool	1	1971	\N	70	Adult,Crime,Drama	movie Cozy Cool Cozy Cool 1 1971 \N 70 Adult,Crime,Drama
tt0135282	The Crack of Dawn	movie	The Crack of Dawn	1	1989	\N	\N	Adult	movie The Crack of Dawn The Crack of Dawn 1 1989 \N \N Adult
tt0135286	Cram Session	movie	Cram Session	1	1986	\N	74	Adult	movie Cram Session Cram Session 1 1986 \N 74 Adult
tt0135290	Cream Dreams	movie	Cream Dreams	1	1987	\N	78	Adult	movie Cream Dreams Cream Dreams 1 1987 \N 78 Adult
tt0135297	Critical Positions	movie	Critical Positions	1	1987	\N	90	Adult	movie Critical Positions Critical Positions 1 1987 \N 90 Adult
tt0135298	Crocodile Blondee 2	movie	Crocodile Blondee 2	1	1988	\N	\N	Adult	movie Crocodile Blondee 2 Crocodile Blondee 2 1 1988 \N \N Adult
tt0135304	Cry Hard	movie	Cry Hard	1	1989	\N	\N	Adult	movie Cry Hard Cry Hard 1 1989 \N \N Adult
tt0135306	Cry Rape	movie	Cry Rape	1	1974	\N	57	Adult,Drama	movie Cry Rape Cry Rape 1 1974 \N 57 Adult,Drama
tt0135308	Crystal's Palace	movie	Crystal's Palace	1	\N	\N	\N	Adult	movie Crystal's Palace Crystal's Palace 1 \N \N \N Adult
tt0135309	Cules	movie	Cules	0	1997	\N	\N	\N	movie Cules Cules 0 1997 \N \N \N
tt0135314	Cunning Coeds	movie	Cunning Coeds	1	1985	\N	67	Adult	movie Cunning Coeds Cunning Coeds 1 1985 \N 67 Adult
tt0135316	The Curse of Her Flesh	movie	The Curse of Her Flesh	0	1968	\N	75	Horror,Thriller	movie The Curse of Her Flesh The Curse of Her Flesh 0 1968 \N 75 Horror,Thriller
tt0135317	Cutting Class	movie	Cutting Class	1	1993	\N	\N	Adult	movie Cutting Class Cutting Class 1 1993 \N \N Adult
tt0135321	Daddy	movie	Daddy	1	1978	\N	\N	Adult	movie Daddy Daddy 1 1978 \N \N Adult
tt0135323	Dana Lynn's Hot All Over	movie	Dana Lynn's Hot All Over	1	1987	\N	73	Adult,Comedy	movie Dana Lynn's Hot All Over Dana Lynn's Hot All Over 1 1987 \N 73 Adult,Comedy
tt0135329	The Dane Harlow Story	movie	The Dane Harlow Story	1	1990	\N	72	Adult	movie The Dane Harlow Story The Dane Harlow Story 1 1990 \N 72 Adult
tt0135333	The Danger Zone	movie	The Danger Zone	1	1990	\N	\N	Adult	movie The Danger Zone The Danger Zone 1 1990 \N \N Adult
tt0135358	Deadlock	movie	Deadlock	0	1943	\N	59	Crime	movie Deadlock Deadlock 0 1943 \N 59 Crime
tt0135359	The Tale of the Dean's Wife	movie	The Tale of the Dean's Wife	0	1970	\N	73	Drama	movie The Tale of the Dean's Wife The Tale of the Dean's Wife 0 1970 \N 73 Drama
tt0135361	Dear Throat	movie	Dear Throat	1	1973	\N	68	Adult	movie Dear Throat Dear Throat 1 1973 \N 68 Adult
tt0135362	Death Dancers	movie	Death Dancers	0	1993	\N	77	Horror,Thriller	movie Death Dancers Death Dancers 0 1993 \N 77 Horror,Thriller
tt0135363	Death Riders	movie	Death Riders	0	1976	\N	88	Documentary,Sport	movie Death Riders Death Riders 0 1976 \N 88 Documentary,Sport
